Variable,Unit,Value
template type,,
lab location,,
containment,,
operator PPE,,
raman scan ID,,
separation ID,,
relative humidity,%,
environment temperature,degree C,
environment pressure,barg,
sample shot,,
target minimum wavenumber,1/cm,
target maximum wavenumber,1/cm,
actual minimum wavenumber,1/cm,
actual maximum wavenumber,1/cm,
acqusition time,second,
accumnulations,,
autofocus,1/0,
autoexposure,1/0,
spike filter,"Multiple accum., Off, Single accum.",
denoise,1/0,
ICS correction,1/0,
dark correction,1/0,
in situ process,1/0,
detector gain,"High Sensivity, High Dynamic Range, …",
detector ADC,"20 kHz, …",
detector temperature,degree C,
instrument,,
detector,,
objective,,
grating,gr/mm,
ND filter,%,
laser wavelength,nm,
set slit,um,
set hole,um,
actual slit ,um,
actual hole,um,
e-cal neon,1/0,
stageXY,,
stageZ,,
full time,MM:SS,
auto calibration,1/0,
raman scan start date,DD-MM-YYYY,
raman scan start time,HH:MM:SS,
reference x,um,
reference y,um,
reference z,um,
laser point x,um,
laser point y,um,
laser point z,um,
smooth window,,
polyorder,,
baseline lambda,,
baseline p,,
baseline iters,,
peak prominence,,
peak height,,
peak distance,,
peak ID,,
raman shift,1/cm,
normalized peak height,,
peak fwhm,1/cm,
peak label,,
label reference,,
