Variable,Unit,Value
template type,,
lab location,,
containment,,
modular reagent ID,,
preparation designer ID,,
preparation opeartor ID,,
operator PPE,,
modular reagent target concentration,M,
modular reagent target volume,ml,
preparation start date,datetime,
preparation start time,datetime,
relative humidity,%,
environment temperature,degree C,
environment pressure,barg,
solvent CAS number,,
solvent supplier,,
solvent production date,datetime,
solvent volumetric measurement glassware ID,,
solvent volume,ml,
solvent volume error,ml,
solute CAS number,,
solute supplier,,
solute production lot,,
solute mass measurement apparatus ID(s),,
tare mass,g,
total mass of solute,g,
mass measurement error,g,
solute mass,g,
mixing glassware ID,,
mixing method,,
transfer glassware ID,,
preparation end date,datetime,
preparation end time,datetime,
actual volume of modular reagent,ml,
