Variable,Unit,Value
template type,,
lab location,,
containment,,
stock reagent ID,,
preparation designer ID,,
preparation opeartor ID,,
operator PPE,,
preparation start date,datetime,
preparation start time,datetime,
relative humidity,%,
environment temperature,degree C,
environment pressure,barg,
modular reagent ID,,
modular reagent mixing sequence,,
modular reagent volumetric measurement glassware ID,,
modular reagent volume,ml,
solvent volume error,ml,
mixing glassware ID,,
mixing method,,
transfer glassware ID,,
preparation end date,datetime,
preparation end time,datetime,
actual volume of modular reagent,ml,
