Variable,Unit,Value
template type,,
lab location,,
containment,,
operator PPE,,
separation ID,,
reaction ID,,
observation in sample tube after settling,,
sample volume after settling,ml,
separation designer ID,,
separation opeartor ID,,
separation type,,
relative humidity,%,
environment temperature,degree C,
environment pressure,barg,
serparation start date,DD-MM-YYYY,
serparation start time,HH:MM:SS,
make up reagent ID,,
sample volume after make up,ml,
centrifugation RPM,,
centrifugation duration,second,
observation after centrifugation,,
